area,xcord,ycord
VISp,3.589595376,11.67914439
VISpl,4.426694693,7.016042781
VISl,6.696794535,8.356506239
VISli,7.008933263,7.286987522
VISal,8.555438781,9.012477718
VISrl,8.924330005,11.26559715
VISa,9.449290594,13.91800357
VISam,8.172359432,14.88770053
VISpm,6.923804519,14.37433155
VISpor,6.271150815,4.962566845
AUDp,10.49921177,5.675579323
AUDd,10.27220179,7.643493761
AUDpo,8.881765633,6.901960784
AUDv,11.15186548,4.221033868
TEa,8.285864425,4.363636364
ECT,10.83972675,2.367201426
PERI,12.11665791,1.682709447
RSPagl,7.094062007,15.82887701
RSPd,8.115606936,17.62566845
RSPv,9.50604309,20.42067736
SSp-bfd,11.5207567,10.60962567
SSp-n,14.33000525,9.839572193
SSp-tr,10.41408303,14.60249554
SSp-ul,14.44351025,13.43315508
SSp-ll,12.05990541,15.28698752
SSp-m,17.28113505,10.29590018
SSp-un,13.67735155,12.29233512
SSs,13.59222281,7.130124777
MOp,17.02574882,14.17468806
MOs,17.05412507,17.65418895
PL,19.69311613,20.84848485
ILA,19.46610615,22.64527629
ACAd,14.27325276,20.53475936
ACAv,15.97582764,22.13190731
FRP,21.84971098,17.82531194
ORBm,22.87125591,20.27807487
ORBvl,23.97792958,17.65418895
ORBl,24.40357331,14.43137255
AId,21.96321597,9.012477718
AIv,23.6941671,10.21033868
AIp,16.40147136,2.595365419
GU,19.32422491,6.474153298
VISC,15.7771939,3.679144385